Fan,Refrigerator,AirConditioner,Television,Monitor,MotorPump,Month,City,Company,MonthlyHours,TariffRate,ElectricityBill
23,23.0,0.0,9.0,1.0,0,4,Mumbai,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",412,9.2,3790.3999999999996
18,22.0,2.0,18.0,1.0,0,12,Faridabad,NTPC Pvt. Ltd.,468,8.1,3790.7999999999997
11,23.0,0.0,20.0,1.0,0,8,Kolkata,L&T Transmission & Distribution,452,8.7,3932.3999999999996
5,21.0,3.0,17.0,1.0,0,10,Pune,GE T&D India Limited,447,9.1,4067.7
13,22.0,3.0,6.0,1.0,0,10,New Delhi,Sterlite Power Transmission Ltd,361,8.5,3068.5
14,22.0,2.0,4.0,1.0,0,2,Gurgaon,Optibelt Power Transmission India Private Limited,442,8.3,3668.6000000000004
7,20.0,0.0,18.0,1.0,0,1,Noida,Neueon Towers / Sujana Towers Ltd.,307,8.2,2517.3999999999996
15,22.0,0.0,20.0,1.0,0,10,Noida,GE T&D India Limited,494,8.2,4050.7999999999997
22,22.0,3.0,17.0,1.0,0,4,Pune,CESC,699,9.1,6360.9
6,23.0,2.0,16.0,1.0,0,6,Shimla,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",549,7.7,4227.3
8,17.0,3.0,5.0,1.0,0,7,Gurgaon,Ringfeder Power Transmission India Pvt. Ltd.,385,8.3,3195.5000000000005
9,22.0,0.0,10.0,7.0,0,12,New Delhi,Orient Green,491,8.5,4173.5
10,21.0,1.0,22.0,1.0,0,6,Dahej,Neueon Towers / Sujana Towers Ltd.,646,7.6,4909.599999999999
12,23.0,2.0,9.0,1.0,0,6,Nagpur,GE T&D India Limited,546,8.9,4859.400000000001
21,23.0,2.0,6.0,1.0,0,6,Vadodara,Reliance Power,636,7.8,4960.8
19,22.0,0.0,10.0,12.0,0,2,Kolkata,JSW Energy Ltd.,401,8.7,3488.7
8,22.0,2.0,8.0,1.0,0,7,Dahej,GE T&D India Limited,360,7.6,2736.0
13,22.0,2.0,8.0,1.0,0,9,Vadodara,Sterlite Power Transmission Ltd,539,7.8,4204.2
14,22.0,2.0,6.0,12.0,0,7,Navi Mumbai,Ringfeder Power Transmission India Pvt. Ltd.,577,9.3,5366.1
5,23.0,3.0,15.0,1.0,0,5,New Delhi,Sunil Hitech Eng,673,8.5,5720.5
5,21.0,0.0,15.0,1.0,0,10,Kolkata,JSW Energy Ltd.,443,8.7,3854.1
11,22.0,1.0,7.0,1.0,0,11,Gurgaon,Sunil Hitech Eng,398,8.3,3303.4
13,22.0,1.0,4.0,12.0,0,1,Navi Mumbai,Power Grid Corp,653,9.3,6072.900000000001
7,21.0,0.0,3.0,1.0,0,12,Hyderabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,421,8.4,3536.4
10,19.0,0.0,3.0,1.0,0,6,Chennai,NTPC Pvt. Ltd.,421,8.8,3704.8
15,22.0,2.0,16.0,1.0,0,4,Chennai,Sterlite Power Transmission Ltd,650,8.8,5720.000000000001
18,22.0,2.0,15.0,1.0,0,6,Ahmedabad,Orient Green,484,7.9,3823.6000000000004
22,23.0,2.0,21.0,1.0,0,6,Noida,SJVN Ltd.,737,8.2,6043.4
18,22.0,2.0,10.0,1.0,0,2,Mumbai,Reliance Power,405,9.2,3725.9999999999995
7,23.0,3.0,11.0,1.0,0,4,Hyderabad,Kalpataru Power,458,8.4,3847.2000000000003
16,22.0,1.0,11.0,1.0,0,8,Dahej,NTPC Pvt. Ltd.,466,7.6,3541.6
14,23.0,1.0,13.0,1.0,0,8,Hyderabad,Adani Power Ltd.,456,8.4,3830.4
15,22.0,3.0,9.0,1.0,0,4,Mumbai,Jaiprakash Power,394,9.2,3624.7999999999997
8,22.0,1.0,5.0,1.0,0,10,Noida,Reliance Power,263,8.2,2156.6
10,18.0,2.0,9.0,1.0,0,7,Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),490,9.2,4508.0
8,19.0,2.0,20.0,1.0,0,12,Shimla,Reliance Energy,476,7.7,3665.2000000000003
19,22.0,1.0,3.0,1.0,0,5,Shimla,Sterlite Power Transmission Ltd,577,7.7,4442.900000000001
7,23.0,0.0,17.0,1.0,0,3,Vadodara,Bonfiglioli Transmission Pvt. Ltd.,533,7.8,4157.4
16,23.0,1.0,16.0,1.0,0,7,Navi Mumbai,Unitech Power Transmission Ltd.,495,9.3,4603.5
8,23.0,0.0,4.0,1.0,0,8,Shimla,Jyoti Structure,399,7.7,3072.3
12,22.0,0.0,14.0,12.0,0,10,Kolkata,KEC International,604,8.7,5254.799999999999
18,22.0,3.0,9.0,1.0,0,9,Kolkata,Kalpataru Power,653,8.7,5681.099999999999
19,23.0,2.0,14.0,1.0,0,11,Noida,Sunil Hitech Eng,512,8.2,4198.4
7,22.0,2.0,11.0,7.0,0,8,Noida,Optibelt Power Transmission India Private Limited,468,8.2,3837.5999999999995
19,22.0,3.0,11.0,1.0,0,4,Kolkata,Optibelt Power Transmission India Private Limited,563,8.7,4898.099999999999
17,23.0,1.0,12.0,1.0,0,9,Kolkata,Jyoti Structure,496,8.7,4315.2
20,23.0,0.0,15.0,1.0,0,10,Hyderabad,TransRail Lighting,500,8.4,4200.0
21,22.0,1.0,8.0,1.0,0,12,Hyderabad,Orient Green,502,8.4,4216.8
9,23.0,3.0,14.0,1.0,0,6,Shimla,SJVN Ltd.,616,7.7,4743.2
13,23.0,3.0,8.0,12.0,0,8,Faridabad,Neueon Towers / Sujana Towers Ltd.,589,8.1,4770.9
7,20.0,2.0,12.0,7.0,0,6,Hyderabad,L&T Transmission & Distribution,595,8.4,4998.0
9,23.0,3.0,17.0,7.0,0,9,Ahmedabad,Ringfeder Power Transmission India Pvt. Ltd.,487,7.9,3847.3
21,22.0,0.0,9.0,1.0,0,3,Ratnagiri,SJVN Ltd.,512,7.4,3788.8
22,22.0,3.0,9.0,1.0,0,2,Mumbai,NHPC,405,9.2,3725.9999999999995
8,18.0,3.0,19.0,1.0,0,11,Hyderabad,Reliance Energy,388,8.4,3259.2000000000003
6,22.0,3.0,10.0,1.0,0,1,Mumbai,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",437,9.2,4020.3999999999996
20,23.0,3.0,5.0,1.0,0,3,New Delhi,L&T Transmission & Distribution,656,8.5,5576.0
7,21.0,0.0,4.0,1.0,0,12,Hyderabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,300,8.4,2520.0
6,18.0,2.0,7.0,7.0,0,9,Dahej,Orient Green,523,7.6,3974.7999999999997
14,23.0,2.0,4.0,1.0,0,7,Hyderabad,L&T Transmission & Distribution,565,8.4,4746.0
17,22.0,1.0,6.0,1.0,0,6,Shimla,L&T Transmission & Distribution,561,7.7,4319.7
20,23.0,3.0,11.0,1.0,0,7,Mumbai,Neueon Towers / Sujana Towers Ltd.,628,9.2,5777.599999999999
11,23.0,3.0,8.0,1.0,0,11,Noida,KEC International,560,8.2,4592.0
13,22.0,0.0,7.0,1.0,0,8,Hyderabad,CESC,425,8.4,3570.0
14,22.0,2.0,14.0,12.0,0,2,Vadodara,Unitech Power Transmission Ltd.,632,7.8,4929.599999999999
22,22.0,3.0,5.0,1.0,0,9,Pune,KEC International,560,9.1,5096.0
15,23.0,1.0,13.0,1.0,0,11,Faridabad,Kalpataru Power,389,8.1,3150.8999999999996
6,21.0,3.0,19.0,1.0,0,2,Nagpur,CESC,576,8.9,5126.400000000001
6,19.0,1.0,4.0,1.0,0,8,Dahej,CESC,340,7.6,2584.0
7,18.0,3.0,4.0,1.0,0,8,Hyderabad,Reliance Power,417,8.4,3502.8
7,23.0,2.0,13.0,1.0,0,4,Navi Mumbai,Jaiprakash Power,503,9.3,4677.900000000001
22,23.0,1.0,6.0,1.0,0,12,New Delhi,Tata Power Company Ltd.,561,8.5,4768.5
18,23.0,2.0,13.0,1.0,0,8,Navi Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),588,9.3,5468.400000000001
7,21.0,3.0,11.0,1.0,0,10,Faridabad,Bonfiglioli Transmission Pvt. Ltd.,584,8.1,4730.4
21,22.0,2.0,21.0,1.0,0,10,Chennai,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,771,8.8,6784.8
22,22.0,3.0,4.0,1.0,0,9,Noida,NHPC,643,8.2,5272.599999999999
18,22.0,0.0,16.0,1.0,0,3,Vadodara,Tata Power Company Ltd.,552,7.8,4305.599999999999
13,23.0,1.0,8.0,12.0,0,5,Chennai,Sunil Hitech Eng,683,8.8,6010.400000000001
5,21.0,3.0,6.0,1.0,0,5,Vadodara,Optibelt Power Transmission India Private Limited,436,7.8,3400.7999999999997
8,23.0,2.0,17.0,1.0,0,7,Mumbai,Kalpataru Power,681,9.2,6265.2
14,22.0,2.0,21.0,12.0,0,2,Kolkata,Unitech Power Transmission Ltd.,668,8.7,5811.599999999999
15,22.0,1.0,14.0,1.0,0,10,Chennai,TransRail Lighting,381,8.8,3352.8
12,22.0,3.0,14.0,1.0,0,10,Navi Mumbai,Jaiprakash Power,643,9.3,5979.900000000001
15,23.0,1.0,22.0,1.0,0,1,Vadodara,TransRail Lighting,495,7.8,3861.0
6,22.0,3.0,9.0,1.0,0,10,Noida,Kalpataru Power,544,8.2,4460.799999999999
23,22.0,3.0,20.0,1.0,0,5,Shimla,Unitech Power Transmission Ltd.,675,7.7,5197.5
20,23.0,1.0,18.0,1.0,0,6,Hyderabad,Reliance Power,665,8.4,5586.0
10,17.0,1.0,10.0,1.0,0,2,Navi Mumbai,Jaiprakash Power,243,9.3,2259.9
23,22.0,2.0,12.0,12.0,0,9,Vadodara,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",735,7.8,5733.0
18,22.0,2.0,8.0,1.0,0,5,Pune,Ringfeder Power Transmission India Pvt. Ltd.,587,9.1,5341.7
14,22.0,0.0,3.0,1.0,0,9,Ahmedabad,Ringfeder Power Transmission India Pvt. Ltd.,287,7.9,2267.3
23,22.0,2.0,18.0,1.0,0,7,Ratnagiri,Tata Power Company Ltd.,756,7.4,5594.400000000001
12,23.0,0.0,14.0,1.0,0,8,Faridabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,460,8.1,3726.0
17,22.0,3.0,7.0,1.0,0,8,Mumbai,Sterlite Power Transmission Ltd,480,9.2,4416.0
6,22.0,1.0,11.0,1.0,0,7,Noida,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),345,8.2,2828.9999999999995
7,23.0,3.0,3.0,1.0,0,12,Pune,Torrent Power Ltd.,545,9.1,4959.5
6,22.0,1.0,20.0,1.0,0,4,Chennai,NTPC Pvt. Ltd.,407,8.8,3581.6000000000004
15,23.0,2.0,7.0,1.0,0,1,Nagpur,NTPC Pvt. Ltd.,389,8.9,3462.1000000000004
17,22.0,1.0,13.0,1.0,0,1,Noida,Ringfeder Power Transmission India Pvt. Ltd.,519,8.2,4255.799999999999
20,22.0,3.0,20.0,12.0,0,9,Faridabad,Sterlite Power Transmission Ltd,662,8.1,5362.2
12,23.0,0.0,4.0,1.0,0,4,Gurgaon,Guj Ind Power,302,8.3,2506.6000000000004
12,23.0,0.0,16.0,1.0,0,2,New Delhi,Kalpataru Power,582,8.5,4947.0
23,22.0,0.0,8.0,1.0,0,1,Chennai,L&T Transmission & Distribution,346,8.8,3044.8
12,22.0,1.0,22.0,1.0,0,3,Nagpur,Sunil Hitech Eng,506,8.9,4503.400000000001
6,22.0,1.0,4.0,1.0,0,1,Faridabad,Reliance Energy,487,8.1,3944.7
7,18.0,0.0,21.0,7.0,0,12,New Delhi,Sterlite Power Transmission Ltd,476,8.5,4046.0
16,22.0,0.0,8.0,1.0,0,12,Pune,Neueon Towers / Sujana Towers Ltd.,373,9.1,3394.2999999999997
18,22.0,1.0,16.0,1.0,0,10,Noida,Bonfiglioli Transmission Pvt. Ltd.,599,8.2,4911.799999999999
8,20.0,0.0,7.0,7.0,0,3,Navi Mumbai,L&T Transmission & Distribution,422,9.3,3924.6000000000004
7,20.0,2.0,11.0,1.0,0,4,Dahej,Jaiprakash Power,351,7.6,2667.6
17,23.0,1.0,12.0,1.0,0,11,New Delhi,Torrent Power Ltd.,512,8.5,4352.0
15,23.0,3.0,4.0,1.0,0,4,Dahej,Kalpataru Power,569,7.6,4324.4
17,23.0,3.0,19.0,1.0,0,7,Noida,Tata Power Company Ltd.,776,8.2,6363.2
17,22.0,0.0,13.0,1.0,0,10,Faridabad,Ringfeder Power Transmission India Pvt. Ltd.,467,8.1,3782.7
15,22.0,2.0,6.0,12.0,0,3,Hyderabad,SJVN Ltd.,696,8.4,5846.400000000001
20,22.0,1.0,6.0,1.0,0,12,Gurgaon,Sterlite Power Transmission Ltd,357,8.3,2963.1000000000004
18,22.0,0.0,7.0,1.0,0,12,Nagpur,NHPC,325,8.9,2892.5
20,22.0,1.0,8.0,12.0,0,3,Nagpur,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),717,8.9,6381.3
23,22.0,2.0,11.0,1.0,0,4,Pune,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",419,9.1,3812.8999999999996
5,23.0,0.0,4.0,1.0,0,7,Vadodara,GE T&D India Limited,478,7.8,3728.4
12,23.0,3.0,16.0,1.0,0,7,Dahej,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),548,7.6,4164.8
8,23.0,3.0,3.0,1.0,0,4,Kolkata,NTPC Pvt. Ltd.,508,8.7,4419.599999999999
10,20.0,0.0,7.0,1.0,0,12,Vadodara,NHPC,299,7.8,2332.2
17,22.0,3.0,18.0,1.0,0,7,Noida,Kalpataru Power,537,8.2,4403.4
11,22.0,2.0,10.0,1.0,0,12,Mumbai,Reliance Energy,473,9.2,4351.599999999999
19,23.0,2.0,5.0,1.0,0,10,Ahmedabad,TransRail Lighting,449,7.9,3547.1000000000004
13,23.0,3.0,21.0,1.0,0,1,Shimla,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,618,7.7,4758.6
22,23.0,0.0,22.0,1.0,0,9,Noida,Kalpataru Power,540,8.2,4428.0
12,23.0,1.0,20.0,1.0,0,4,Faridabad,L&T Transmission & Distribution,530,8.1,4293.0
19,23.0,2.0,6.0,1.0,0,3,Chennai,Power Grid Corp,578,8.8,5086.400000000001
15,22.0,3.0,17.0,1.0,0,2,Ahmedabad,JSW Energy Ltd.,418,7.9,3302.2000000000003
10,22.0,0.0,12.0,7.0,0,2,Ratnagiri,Orient Green,406,7.4,3004.4
19,22.0,3.0,10.0,1.0,0,1,Navi Mumbai,Torrent Power Ltd.,521,9.3,4845.3
5,18.0,3.0,9.0,1.0,0,2,Ahmedabad,Tata Power Company Ltd.,458,7.9,3618.2000000000003
16,22.0,3.0,8.0,12.0,0,2,Chennai,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,666,8.8,5860.8
7,17.0,3.0,14.0,1.0,0,8,Mumbai,Torrent Power Ltd.,325,9.2,2989.9999999999995
22,23.0,0.0,20.0,12.0,0,10,Navi Mumbai,Reliance Power,684,9.3,6361.200000000001
19,23.0,0.0,14.0,1.0,0,2,Pune,L&T Transmission & Distribution,491,9.1,4468.099999999999
7,20.0,2.0,13.0,1.0,0,12,Faridabad,Sterlite Power Transmission Ltd,528,8.1,4276.8
14,22.0,3.0,20.0,1.0,0,5,Dahej,Sunil Hitech Eng,742,7.6,5639.2
16,23.0,1.0,22.0,12.0,0,3,Navi Mumbai,SJVN Ltd.,768,9.3,7142.400000000001
10,19.0,0.0,10.0,1.0,0,12,Kolkata,GE T&D India Limited,503,8.7,4376.099999999999
7,17.0,1.0,18.0,7.0,0,11,Navi Mumbai,SJVN Ltd.,536,9.3,4984.8
9,19.0,1.0,12.0,1.0,0,1,Ratnagiri,Torrent Power Ltd.,472,7.4,3492.8
15,22.0,1.0,19.0,1.0,0,1,Dahej,CESC,634,7.6,4818.4
15,23.0,2.0,8.0,1.0,0,10,Hyderabad,Guj Ind Power,384,8.4,3225.6000000000004
12,22.0,2.0,11.0,1.0,0,3,New Delhi,CESC,438,8.5,3723.0
14,22.0,1.0,10.0,12.0,0,7,Faridabad,NHPC,701,8.1,5678.099999999999
15,22.0,2.0,16.0,1.0,0,6,Gurgaon,Indowind Energy,462,8.3,3834.6000000000004
9,23.0,2.0,7.0,1.0,0,3,Ahmedabad,Bonfiglioli Transmission Pvt. Ltd.,601,7.9,4747.900000000001
19,22.0,0.0,10.0,1.0,0,9,Ratnagiri,NLC India,408,7.4,3019.2000000000003
12,22.0,2.0,6.0,1.0,0,6,Hyderabad,Jaiprakash Power,463,8.4,3889.2000000000003
6,23.0,2.0,19.0,7.0,0,7,Hyderabad,SJVN Ltd.,602,8.4,5056.8
23,22.0,0.0,12.0,1.0,0,6,Shimla,Unitech Power Transmission Ltd.,635,7.7,4889.5
23,23.0,0.0,22.0,1.0,0,8,Shimla,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,563,7.7,4335.1
18,23.0,3.0,12.0,1.0,0,8,Nagpur,Torrent Power Ltd.,726,8.9,6461.400000000001
7,20.0,1.0,16.0,1.0,0,12,Chennai,TransRail Lighting,412,8.8,3625.6000000000004
7,21.0,3.0,22.0,1.0,0,12,Ahmedabad,Neueon Towers / Sujana Towers Ltd.,675,7.9,5332.5
11,22.0,2.0,13.0,1.0,0,9,Mumbai,Reliance Energy,385,9.2,3541.9999999999995
13,22.0,0.0,21.0,12.0,0,10,Dahej,Reliance Power,744,7.6,5654.4
13,22.0,1.0,18.0,1.0,0,4,Vadodara,Reliance Energy,410,7.8,3198.0
13,23.0,2.0,14.0,12.0,0,1,Dahej,KEC International,591,7.6,4491.599999999999
7,23.0,1.0,14.0,1.0,0,4,Chennai,Reliance Power,521,8.8,4584.8
18,23.0,2.0,10.0,1.0,0,5,Chennai,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",596,8.8,5244.8
22,23.0,2.0,4.0,1.0,0,4,Gurgaon,Power Grid Corp,415,8.3,3444.5000000000005
16,23.0,0.0,8.0,1.0,0,12,Vadodara,NLC India,503,7.8,3923.4
7,17.0,3.0,17.0,1.0,0,10,Ahmedabad,L&T Transmission & Distribution,526,7.9,4155.400000000001
13,22.0,0.0,12.0,1.0,0,6,Nagpur,NTPC Pvt. Ltd.,377,8.9,3355.3
14,22.0,2.0,6.0,1.0,0,3,Chennai,L&T Transmission & Distribution,376,8.8,3308.8
17,23.0,3.0,21.0,1.0,0,6,Nagpur,NTPC Pvt. Ltd.,724,8.9,6443.6
11,22.0,2.0,12.0,12.0,0,7,Faridabad,Reliance Power,707,8.1,5726.7
11,23.0,0.0,4.0,1.0,0,11,Kolkata,Jyoti Structure,365,8.7,3175.4999999999995
5,19.0,2.0,8.0,1.0,0,2,Gurgaon,Bonfiglioli Transmission Pvt. Ltd.,308,8.3,2556.4
16,23.0,3.0,5.0,1.0,0,8,Kolkata,Orient Green,543,8.7,4724.099999999999
6,22.0,1.0,9.0,1.0,0,3,Gurgaon,Sunil Hitech Eng,355,8.3,2946.5000000000005
6,21.0,2.0,4.0,7.0,0,9,Vadodara,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,502,7.8,3915.6
5,19.0,2.0,16.0,1.0,0,8,Gurgaon,Guj Ind Power,455,8.3,3776.5000000000005
9,19.0,0.0,13.0,7.0,0,12,Ahmedabad,Guj Ind Power,543,7.9,4289.7
12,23.0,1.0,7.0,1.0,0,11,Faridabad,L&T Transmission & Distribution,461,8.1,3734.1
8,17.0,1.0,8.0,1.0,0,7,Chennai,Power Grid Corp,412,8.8,3625.6000000000004
15,22.0,3.0,16.0,12.0,0,9,Hyderabad,Neueon Towers / Sujana Towers Ltd.,633,8.4,5317.2
6,19.0,2.0,15.0,1.0,0,12,Pune,Jaiprakash Power,480,9.1,4368.0
9,17.0,0.0,11.0,7.0,0,5,Kolkata,CESC,348,8.7,3027.6
20,22.0,2.0,6.0,1.0,0,10,Vadodara,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),623,7.8,4859.4
12,22.0,3.0,9.0,1.0,0,3,Gurgaon,TransRail Lighting,465,8.3,3859.5000000000005
5,18.0,0.0,14.0,1.0,0,6,Gurgaon,Ringfeder Power Transmission India Pvt. Ltd.,371,8.3,3079.3
21,22.0,1.0,12.0,1.0,0,11,Ahmedabad,KEC International,561,7.9,4431.900000000001
20,22.0,2.0,9.0,1.0,0,8,Chennai,Sunil Hitech Eng,673,8.8,5922.400000000001
7,18.0,1.0,15.0,1.0,0,8,Ratnagiri,Ringfeder Power Transmission India Pvt. Ltd.,535,7.4,3959.0
12,22.0,3.0,6.0,12.0,0,4,Pune,Ringfeder Power Transmission India Pvt. Ltd.,513,9.1,4668.3
8,17.0,1.0,4.0,7.0,0,10,Ahmedabad,Indowind Energy,460,7.9,3634.0
20,23.0,2.0,12.0,1.0,0,8,Noida,Optibelt Power Transmission India Private Limited,483,8.2,3960.5999999999995
7,17.0,2.0,10.0,1.0,0,7,Hyderabad,Sunil Hitech Eng,370,8.4,3108.0
11,23.0,3.0,18.0,1.0,0,10,Hyderabad,Sunil Hitech Eng,678,8.4,5695.2
7,23.0,0.0,19.0,1.0,0,8,Shimla,Orient Green,459,7.7,3534.3
22,23.0,3.0,19.0,12.0,0,1,Dahej,Tata Power Company Ltd.,717,7.6,5449.2
21,22.0,2.0,15.0,1.0,0,7,Chennai,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,617,8.8,5429.6
5,22.0,3.0,9.0,1.0,0,5,Navi Mumbai,Tata Power Company Ltd.,488,9.3,4538.400000000001
22,22.0,2.0,20.0,1.0,0,12,Ahmedabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,614,7.9,4850.6
21,23.0,3.0,13.0,1.0,0,11,Ratnagiri,Power Grid Corp,556,7.4,4114.400000000001
6,18.0,0.0,9.0,1.0,0,8,Kolkata,Unitech Power Transmission Ltd.,301,8.7,2618.7
9,20.0,2.0,19.0,1.0,0,4,Pune,Unitech Power Transmission Ltd.,569,9.1,5177.9
9,21.0,3.0,22.0,1.0,0,8,Chennai,Sterlite Power Transmission Ltd,527,8.8,4637.6
16,22.0,1.0,3.0,1.0,0,11,Vadodara,Unitech Power Transmission Ltd.,322,7.8,2511.6
16,23.0,1.0,21.0,1.0,0,6,Dahej,TransRail Lighting,712,7.6,5411.2
6,18.0,0.0,17.0,1.0,0,10,Noida,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),442,8.2,3624.3999999999996
19,23.0,1.0,17.0,12.0,0,2,Noida,Orient Green,509,8.2,4173.799999999999
11,23.0,3.0,20.0,1.0,0,1,Nagpur,Unitech Power Transmission Ltd.,648,8.9,5767.2
11,22.0,2.0,14.0,1.0,0,3,Chennai,KEC International,394,8.8,3467.2000000000003
15,22.0,2.0,14.0,1.0,0,6,Mumbai,Bonfiglioli Transmission Pvt. Ltd.,487,9.2,4480.4
21,23.0,2.0,5.0,1.0,0,2,Hyderabad,JSW Energy Ltd.,417,8.4,3502.8
10,23.0,2.0,19.0,1.0,0,12,Gurgaon,L&T Transmission & Distribution,504,8.3,4183.200000000001
11,22.0,3.0,4.0,1.0,0,9,Kolkata,Jyoti Structure,503,8.7,4376.099999999999
22,22.0,3.0,4.0,1.0,0,10,Vadodara,Kalpataru Power,503,7.8,3923.4
15,22.0,2.0,10.0,12.0,0,4,New Delhi,TransRail Lighting,514,8.5,4369.0
23,23.0,2.0,20.0,1.0,0,5,Dahej,Ringfeder Power Transmission India Pvt. Ltd.,741,7.6,5631.599999999999
21,23.0,1.0,8.0,1.0,0,1,Vadodara,Power Grid Corp,407,7.8,3174.6
13,23.0,3.0,17.0,1.0,0,11,Pune,Sterlite Power Transmission Ltd,522,9.1,4750.2
18,22.0,2.0,14.0,1.0,0,10,Dahej,L&T Transmission & Distribution,506,7.6,3845.6
13,22.0,1.0,3.0,1.0,0,8,Chennai,KEC International,420,8.8,3696.0000000000005
22,23.0,0.0,15.0,12.0,0,11,Ratnagiri,NLC India,735,7.4,5439.0
13,23.0,2.0,21.0,12.0,0,11,Pune,Reliance Energy,577,9.1,5250.7
15,22.0,1.0,14.0,1.0,0,10,Pune,Reliance Energy,397,9.1,3612.7
21,23.0,3.0,12.0,1.0,0,7,Mumbai,KEC International,640,9.2,5888.0
13,23.0,2.0,9.0,1.0,0,4,Nagpur,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",395,8.9,3515.5
